Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%)
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,<1,1,52.1,48.5,55.7,67
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,01 to 04,2,51.6,48.1,55.1,67
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,05 to 09,3,48.1,45.0,51.3,66
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,10 to 14,4,43.9,41.0,46.7,65
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,15 to 19,5,39.7,37.1,42.3,63
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,20 to 24,6,35.6,33.1,38.1,61
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,25 to 29,7,31.8,29.3,34.2,60
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,30 to 34,8,28.1,25.8,30.4,58
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,35 to 39,9,24.5,22.3,26.7,56
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,40 to 44,10,21.2,19.1,23.2,54
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,45 to 49,11,17.9,16.0,19.9,52
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,50 to 54,12,14.9,13.1,16.7,49
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,55 to 59,13,12.2,10.5,13.9,47
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,60 to 64,14,9.7,8.0,11.3,44
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,65 to 69,15,7.4,5.8,9.1,41
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,70 to 74,16,5.5,3.9,7.2,38
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,75 to 79,17,3.9,2.1,5.7,34
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,80 to 84,18,2.6,0.6,4.5,30
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,85 to 89,19,1.5,0.4,2.6,25
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Male,1,90+,20,1.0,0.2,1.7,21
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,<1,1,51.2,47.1,55.2,64
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,01 to 04,2,50.5,46.6,54.4,63
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,05 to 09,3,47.2,43.8,50.6,62
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,10 to 14,4,43.1,40.2,46.0,61
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,15 to 19,5,39.1,36.5,41.7,59
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,20 to 24,6,35.2,32.8,37.7,58
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,25 to 29,7,31.5,29.1,33.8,56
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,30 to 34,8,27.8,25.6,29.9,54
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,35 to 39,9,24.2,22.2,26.3,53
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,40 to 44,10,21.0,19.0,23.0,51
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,45 to 49,11,17.9,16.0,19.8,49
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,50 to 54,12,15.1,13.3,16.8,46
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,55 to 59,13,12.4,10.7,14.0,44
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,60 to 64,14,9.9,8.4,11.5,41
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,65 to 69,15,7.7,6.1,9.2,39
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,70 to 74,16,5.7,4.3,7.2,36
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,75 to 79,17,4.1,2.6,5.6,33
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,80 to 84,18,2.7,1.2,4.3,30
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,85 to 89,19,1.7,0.7,2.6,26
2022 to 2024,England,Local Areas,E06000001,Hartlepool,Female,2,90+,20,1.0,0.4,1.6,21
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,<1,1,53.9,50.6,57.2,71
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,01 to 04,2,53.3,50.1,56.5,71
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,05 to 09,3,49.8,47.0,52.6,70
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,10 to 14,4,45.4,43.0,47.9,69
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,15 to 19,5,41.2,39.0,43.3,67
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,20 to 24,6,37.0,34.9,39.0,66
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,25 to 29,7,33.0,31.0,34.9,64
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,30 to 34,8,29.0,27.1,30.9,62
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,35 to 39,9,25.3,23.5,27.0,60
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,40 to 44,10,21.8,20.1,23.5,58
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,45 to 49,11,18.6,17.0,20.2,56
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,50 to 54,12,15.6,14.1,17.1,54
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,55 to 59,13,12.9,11.5,14.2,51
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,60 to 64,14,10.3,8.9,11.6,49
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,65 to 69,15,7.9,6.6,9.1,46
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,70 to 74,16,5.8,4.6,7.0,43
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,75 to 79,17,4.2,2.9,5.4,39
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,80 to 84,18,2.8,1.4,4.1,36
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,85 to 89,19,1.7,0.9,2.5,31
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Male,1,90+,20,1.1,0.5,1.6,26
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,<1,1,54.2,50.9,57.4,67
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,01 to 04,2,53.6,50.4,56.8,67
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,05 to 09,3,50.1,47.2,53.0,66
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,10 to 14,4,45.8,43.2,48.3,65
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,15 to 19,5,41.5,39.2,43.9,63
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,20 to 24,6,37.5,35.2,39.7,61
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,25 to 29,7,33.5,31.4,35.7,60
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,30 to 34,8,29.8,27.7,31.9,58
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,35 to 39,9,26.1,24.0,28.1,56
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,40 to 44,10,22.6,20.6,24.5,54
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,45 to 49,11,19.4,17.5,21.2,52
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,50 to 54,12,16.4,14.6,18.1,50
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,55 to 59,13,13.5,11.9,15.2,48
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,60 to 64,14,11.0,9.3,12.6,46
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,65 to 69,15,8.6,7.0,10.2,43
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,70 to 74,16,6.5,4.9,8.1,40
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,75 to 79,17,4.6,3.0,6.2,37
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,80 to 84,18,3.1,1.4,4.7,33
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,85 to 89,19,2.0,0.9,3.0,29
2022 to 2024,England,Local Areas,E06000002,Middlesbrough,Female,2,90+,20,1.2,0.6,1.9,26
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,<1,1,54.3,50.5,58.2,71
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,01 to 04,2,53.8,50.1,57.5,70
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,05 to 09,3,50.2,47.0,53.4,69
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,10 to 14,4,45.9,43.2,48.6,68
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,15 to 19,5,41.6,39.2,43.9,67
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,20 to 24,6,37.5,35.2,39.7,65
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,25 to 29,7,33.5,31.4,35.6,63
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,30 to 34,8,29.7,27.6,31.7,61
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,35 to 39,9,26.1,24.2,28.0,60
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,40 to 44,10,22.6,20.8,24.5,58
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,45 to 49,11,19.4,17.7,21.1,56
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,50 to 54,12,16.4,14.8,18.0,53
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,55 to 59,13,13.6,12.1,15.0,51
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,60 to 64,14,10.8,9.5,12.2,49
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,65 to 69,15,8.5,7.2,9.8,46
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,70 to 74,16,6.3,5.0,7.6,43
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,75 to 79,17,4.6,3.3,6.0,41
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,80 to 84,18,3.1,1.7,4.6,37
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,85 to 89,19,1.9,1.1,2.8,33
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,90+,20,1.1,0.6,1.7,28
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,<1,1,54.3,50.4,58.2,67
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,01 to 04,2,53.6,49.8,57.4,66
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,05 to 09,3,50.1,46.9,53.4,65
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,10 to 14,4,45.9,43.1,48.6,64
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,15 to 19,5,41.7,39.3,44.0,62
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,20 to 24,6,37.6,35.4,39.9,61
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,25 to 29,7,33.8,31.6,35.9,59
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,30 to 34,8,30.0,27.9,32.0,57
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,35 to 39,9,26.3,24.3,28.2,56
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,40 to 44,10,22.9,21.0,24.8,54
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,45 to 49,11,19.6,17.9,21.4,52
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,50 to 54,12,16.5,14.9,18.1,50
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,55 to 59,13,13.7,12.2,15.2,47
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,60 to 64,14,11.1,9.7,12.4,45
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,65 to 69,15,8.6,7.3,10.0,42
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,70 to 74,16,6.5,5.2,7.8,40
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,75 to 79,17,4.7,3.4,6.0,36
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,80 to 84,18,3.1,1.8,4.4,33
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,85 to 89,19,1.9,1.1,2.7,29
2022 to 2024,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,90+,20,1.1,0.6,1.6,25
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,<1,1,55.6,52.0,59.1,71
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,01 to 04,2,54.9,51.5,58.4,70
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,05 to 09,3,51.4,48.3,54.6,69
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,10 to 14,4,47.1,44.3,49.9,68
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,15 to 19,5,42.8,40.2,45.4,67
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,20 to 24,6,38.6,36.1,41.2,65
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,25 to 29,7,34.6,32.2,37.0,64
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,30 to 34,8,30.7,28.4,33.0,62
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,35 to 39,9,26.9,24.7,29.1,60
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,40 to 44,10,23.4,21.3,25.5,58
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,45 to 49,11,20.0,18.0,22.0,56
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,50 to 54,12,16.8,15.0,18.6,53
2022 to 2024,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,55 to 59,13,13.8,12.1,15.6,51
