FID,LAD21CD,LAD21NM,LAD21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,LAD21CD_1,LAD21NM_1,RUC21CD,RUC21NM,Urban_rura,Shape_Leng,Shape__Area,Shape__Length,GlobalID_2
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.6761,353a47f9-0a38-42b9-92d5-612794437e27,E06000001,Hartlepool,UUN,Urban: Majority nearer to a major town or city,Urban,66110.0110276,98351072.8359222,66110.0110275701,5d65a474-40ea-48a5-b647-e49b6c7f1f15
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.5447,b4dcd1ed-2166-47e9-ae61-4bbe05c4b0a9,E06000002,Middlesbrough,UUN,Urban: Majority nearer to a major town or city,Urban,41055.7897905,54553586.4644165,41055.7897904943,b514dfaa-6d49-4959-819a-6c6a00def2f9
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.5675,9c578b25-3bf9-423f-aa91-ce5315a2b54f,E06000003,Redcar and Cleveland,UIN,Intermediate urban: Majority nearer to a major town or city,Urban,105292.103526,253785360.202087,105292.103526003,7a326cdc-9115-4e65-94f0-4d63e65f9f90
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.5569,b3a6ee7f-7e10-4ebf-8e60-c265f439855d,E06000004,Stockton-on-Tees,UUN,Urban: Majority nearer to a major town or city,Urban,108085.19014,209730808.795654,108085.190139869,33914785-fd8b-4fba-876b-729386d0cd14
5,E06000005,Darlington, ,428029,515648,-1.56835,54.5353,933c21a1-e315-44ab-8471-caa069f09686,E06000005,Darlington,UUN,Urban: Majority nearer to a major town or city,Urban,107203.152334,197477768.128265,107203.152334417,2207122a-b50d-485c-bade-0843c25cd9f0
6,E06000006,Halton, ,354246,382146,-2.68853,53.3342,393f4856-474f-4d74-aab5-0af9caa270c1,E06000006,Halton,UUN,Urban: Majority nearer to a major town or city,Urban,60716.8350606,90321522.4018326,60716.8350606477,a32cf837-5a11-4404-a726-4ca70e44f7c1
7,E06000007,Warrington, ,362744,388456,-2.56167,53.3916,88b48adc-8cd1-4ff2-bf50-a8ad1e33222f,E06000007,Warrington,UUN,Urban: Majority nearer to a major town or city,Urban,84154.547834,182383630.283203,84154.5478339994,876351ab-e556-4135-b267-327eb9f7570f
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.7008,98259b3d-62fe-4bc5-b11c-d693b68c6506,E06000008,Blackburn with Darwen,UUN,Urban: Majority nearer to a major town or city,Urban,65284.9523177,137022079.422363,65284.9523177376,b2c21282-b3c5-4704-bca5-c0667856de15
9,E06000009,Blackpool, ,332819,436635,-3.02199,53.8216,403625ec-ceff-4867-a090-637c7547b4a4,E06000009,Blackpool,UUN,Urban: Majority nearer to a major town or city,Urban,36304.962959,43150770.011795,36304.9629590298,41e8fbf7-46c9-4259-bd98-64748d47f139
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382,53.7692,505fbcd9-3ec1-4e3e-a80d-21c108b3ae56,E06000010,Kingston upon Hull,UUN,Urban: Majority nearer to a major town or city,Urban,46016.3827399,81468863.3850098,46016.3827399051,2156971a-dbc9-43dc-bf4e-59885f89b04f
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.8811,ca7401a9-70aa-4556-a0d7-e71c9e506951,E06000011,East Riding of Yorkshire,RIN,Intermediate rural: Majority nearer to a major town or city,Rural,376762.982602,2491784973.04573,376762.982601629,456d53b8-ba32-47dd-9744-fe7af95b7008
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.5233,7e608830-7972-4efb-891a-8c5518172e65,E06000012,North East Lincolnshire,UUN,Urban: Majority nearer to a major town or city,Urban,90688.1913274,202662547.44075,90688.1913274177,22e70f5c-559c-4213-91c3-c31e780bfd6d
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407,53.5864,bd73af7c-601d-46da-9b3b-cca400649a5f,E06000013,North Lincolnshire,RIN,Intermediate rural: Majority nearer to a major town or city,Rural,183997.528738,878893404.613068,183997.528738299,7e57851a-9ee9-4d3e-9b91-2282731a2745
14,E06000014,York, ,460864,452589,-1.07375,53.9658,d9f14f25-2280-4b1b-877a-7e0fbf694360,E06000014,York,UUN,Urban: Majority nearer to a major town or city,Urban,99389.2312178,272009656.840805,99389.2312177846,3d2183de-48db-46de-b81c-9fbb32a0cac1
15,E06000015,Derby, ,435609,335375,-1.47189,52.9146,d5653e73-0655-41da-886c-4962c3ab3a07,E06000015,Derby,UUN,Urban: Majority nearer to a major town or city,Urban,50037.5273504,78031123.6711121,50037.5273504427,3683f478-e8ec-4d65-8931-57f49a9a1e2d
16,E06000016,Leicester, ,458946,304594,-1.1304,52.6359,524eb0a9-b785-4860-b7ff-6f313884ee89,E06000016,Leicester,UUN,Urban: Majority nearer to a major town or city,Urban,51931.7073368,73342071.6983032,51931.7073368346,fa70766d-90a7-4fca-8786-397f55ac14ae
17,E06000017,Rutland, ,492992,308655,-0.6263,52.6676,6bc6252c-1c4d-455a-b554-17a0fb1bbd10,E06000017,Rutland,RMF,Majority rural: Majority further from a major town or city,Rural,125884.932019,393748906.929871,125884.932019303,f5b5ea96-7fd1-456b-8eda-f5447d068767
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.9542,5f1a966b-d636-44d4-83a6-79ec84ecc0dd,E06000018,Nottingham,UUN,Urban: Majority nearer to a major town or city,Urban,58724.0327676,74613555.3421631,58724.0327675763,bbdedf3c-fa62-421b-86b4-b3e3444b6f5e
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.0815,007f34ef-432c-4e85-b90f-ac40c8c1712c,E06000019,Herefordshire,RMF,Majority rural: Majority further from a major town or city,Rural,349889.284529,2179709443.1668,349889.284528727,517cf5e5-1c44-40a3-9fb1-e9461ab15527
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.7142,6a6b5836-49eb-4379-9e4c-e97cbe795bdf,E06000020,Telford and Wrekin,UUN,Urban: Majority nearer to a major town or city,Urban,118779.656758,290313543.526337,118779.656757853,3e7434a1-5b8c-46c4-8a7c-9c5ece7ad60d
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.0171,c8376356-9be5-4ea6-baf5-912b75e01e87,E06000021,Stoke-on-Trent,UUN,Urban: Majority nearer to a major town or city,Urban,63974.4506513,93448482.2061844,63974.4506512752,05455e7f-c72e-4336-800a-97059339f567
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.356,89842e86-06de-4a65-8fed-bd035395f9cf,E06000022,Bath and North East Somerset,UIN,Intermediate urban: Majority nearer to a major town or city,Urban,141684.569708,351123212.497639,141684.569708064,d76c995b-8aaf-48bb-9a54-543da267f7eb
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.4711,3c6443e6-cf32-4629-840d-27d43b44a610,E06000023,Bristol,UUN,Urban: Majority nearer to a major town or city,Urban,145510.066246,235441874.046032,145510.066245692,8afa8c51-05c5-4535-b3ce-8728296fec0c
24,E06000024,North Somerset, ,347614,166718,-2.75438,51.3971,f2c19008-dee4-4658-aea1-569bc895a718,E06000024,North Somerset,UIN,Intermediate urban: Majority nearer to a major town or city,Urban,140559.058594,390467134.391697,140559.058594278,7fd96423-a7f9-4bdd-b2c6-2c5768aa1306
25,E06000025,South Gloucestershire, ,367559,183198,-2.46922,51.5467,c83b7d3f-14bd-4012-b8c4-adb0108c12ca,E06000025,South Gloucestershire,UUN,Urban: Majority nearer to a major town or city,Urban,159839.666114,536758434.528671,159839.66611388,7e35d91b-2a0d-4d8e-8283-4935960aabcb
26,E06000026,Plymouth, ,249945,58255,-4.11297,50.4049,fde8dbb3-95fd-42bc-b7c3-ee51c5f48795,E06000026,Plymouth,UUN,Urban: Majority nearer to a major town or city,Urban,63654.1004707,84369780.9683905,63654.1004706665,54f3f0b6-034e-4f3d-b65f-60648c52624c
27,E06000027,Torbay, ,289730,64613,-3.55523,50.4709,16f57b6d-2798-4535-b31a-8968fb69e67b,E06000027,Torbay,UUF,Urban: Majority further from a major town or city,Urban,52379.4990012,119452352.053448,52379.4990011865,af114b62-fe41-4188-b803-2da8fa12acda
28,E06000030,Swindon, ,418551,186564,-1.73367,51.5776,947da2b7-dab4-4c39-a79b-2fc1508579e3,E06000030,Swindon,UUN,Urban: Majority nearer to a major town or city,Urban,103014.61957,230093376.535385,103014.619569825,28892d58-0af6-42dc-94a2-6a6e24de7315
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.5921,5eedfa7d-1b77-4080-b79c-bcf2b21a8d6b,E06000031,Peterborough,UUN,Urban: Majority nearer to a major town or city,Urban,112635.125796,343437870.480591,112635.12579564,9e431db0-ce3d-4504-9fd5-adf9e5641b3b
30,E06000032,Luton, ,508606,222559,-0.42319,51.891,49c4616c-fe6e-4ca4-a354-b0b8b051c40d,E06000032,Luton,UUN,Urban: Majority nearer to a major town or city,Urban,34569.6026266,43352491.4350586,34569.6026266023,ebfaf1e8-b8e3-43d9-b82b-4180458a545f
31,E06000033,Southend-on-Sea, ,587777,186837,0.706923,51.5492,e2076d65-e836-4ecc-a0a1-1d9d45955693,E06000033,Southend-on-Sea,UUN,Urban: Majority nearer to a major town or city,Urban,72409.9449923,67964095.2295609,72409.9449923374,9df2c8e5-a441-45a3-8245-8c58c18bf748
32,E06000034,Thurrock, ,562123,181590,0.334861,51.51,9e57509b-ad3a-4aaa-8540-8967cd7f2668,E06000034,Thurrock,UUN,Urban: Majority nearer to a major town or city,Urban,77782.1107392,184431437.057472,77782.110739215,b622d0c2-1074-4b93-a332-4cded6bac55d
33,E06000035,Medway, ,578207,175198,0.563174,51.4477,d01751da-d3be-4fb6-b896-8ca182801d81,E06000035,Medway,UUN,Urban: Majority nearer to a major town or city,Urban,92551.4684732,268923330.919075,92551.4684731985,7c7032da-4381-4219-b2da-bd8df726f8c9
